Date,Avg Temperature,Avg Humidity,Avg Wind Speed,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Ilość wynajmów,Czas trwania
2023-01-01,58.8,44.1,58.0,14.8,11.4,17.9,0.0,0.0,228,18.6,42.6,1019.2,0.0,0.0,0.0
2023-01-02,52.8,43.5,70.2,11.4,8.8,14.7,0.0,0.0,196,12.8,31.5,1019.4,0.0,27.0,28.0
2023-01-03,44.0,39.4,84.1,6.9,-0.5,11.0,0.0,0.0,282,10.1,29.6,1027.6,0.0,25.0,25.0
2023-01-04,40.0,34.4,81.0,4.7,-1.3,9.7,1.9,0.0,204,17.9,48.2,1021.6,0.0,35.0,52.0
2023-01-05,47.9,40.5,75.3,9.1,5.8,11.6,4.3,0.0,289,26.1,59.3,1012.1,0.0,28.0,2970.0
2023-01-06,40.7,36.6,85.4,5.0,0.2,9.2,0.4,0.0,227,12.0,31.5,1020.8,0.0,42.0,42.0
2023-01-07,42.4,38.9,87.9,5.8,2.5,11.0,0.0,0.0,176,7.1,22.2,1019.4,0.0,0.0,0.0
2023-01-08,38.5,35.2,88.3,3.7,0.1,9.2,0.0,0.0,146,9.0,24.1,1010.6,0.0,0.0,0.0
2023-01-09,39.5,36.4,89.1,4.3,1.3,7.9,1.6,0.0,190,9.6,25.9,1003.1,0.0,6.0,10.0
2023-01-10,41.2,37.5,87.9,5.5,4.6,6.7,0.0,0.0,292,8.3,25.9,1016.0,0.0,16.0,52.0
2023-01-11,40.7,33.9,77.8,4.7,-0.9,7.6,0.0,0.0,188,14.4,31.5,1016.9,0.0,2.0,2.0
2023-01-12,45.2,37.9,76.3,7.3,3.6,10.0,3.0,0.0,225,18.8,38.9,1014.9,0.0,10.0,10.0
2023-01-13,47.6,40.1,75.4,8.6,5.1,11.1,2.6,0.0,226,17.7,37.0,1010.8,0.0,39.0,42.0
2023-01-14,43.4,34.6,71.2,6.3,3.1,9.5,0.0,0.0,205,18.5,44.5,1015.2,0.0,0.0,0.0
2023-01-15,43.9,38.0,79.8,6.9,3.2,10.2,3.1,0.0,210,18.6,50.0,1004.4,0.0,0.0,0.0
2023-01-16,38.6,31.0,74.8,3.8,1.5,6.9,0.0,0.0,174,18.0,35.2,998.7,0.0,29.0,145.0
2023-01-17,37.1,28.0,71.3,2.9,-2.1,7.2,0.0,0.0,186,15.8,35.2,989.6,0.0,56.0,409.0
2023-01-18,34.0,32.0,92.7,1.1,-3.2,2.2,0.5,0.0,337,5.0,16.7,994.1,0.0,26.0,110.0
2023-01-19,31.7,27.4,85.0,0.2,-3.9,3.1,0.0,0.0,294,7.0,22.2,1006.9,0.0,18.0,39.0
2023-01-20,29.2,26.1,89.1,-1.5,-5.6,1.7,0.0,0.0,325,5.6,24.1,1015.9,0.0,54.0,66.0
2023-01-21,31.4,29.6,93.3,-0.3,-1.4,0.8,1.0,10.0,354,11.5,33.3,1020.1,0.0,0.0,0.0
2023-01-22,33.8,32.1,94.0,1.0,0.6,1.7,1.9,0.0,56,7.2,20.4,1028.3,0.0,0.0,0.0
2023-01-23,34.4,34.0,98.5,1.2,0.7,1.8,1.8,20.0,45,7.2,18.5,1036.6,0.0,21.0,44.0
2023-01-24,35.7,34.9,96.0,2.3,1.4,3.5,0.0,0.0,47,7.1,18.5,1038.9,0.0,21.0,97.0
2023-01-25,35.8,33.6,92.6,2.2,1.2,2.6,0.3,0.0,161,6.2,16.7,1033.0,0.0,70.0,77.0
2023-01-26,34.0,29.9,86.8,1.1,0.6,1.5,0.0,0.0,179,4.6,13.0,1022.0,0.0,0.0,0.0
2023-01-27,33.3,32.0,95.6,0.8,0.4,1.3,1.0,0.0,16,7.7,18.5,1022.2,0.0,0.0,0.0
2023-01-28,30.2,26.6,86.7,-0.6,-1.5,0.7,0.1,0.0,349,9.5,20.4,1026.7,0.0,0.0,0.0
2023-01-29,31.0,25.2,78.9,-0.6,-2.1,1.7,0.0,0.0,258,15.2,27.8,1025.1,0.0,0.0,0.0
2023-01-30,34.6,29.2,80.2,1.6,-1.4,4.6,0.0,0.0,257,24.3,55.5,1009.6,0.0,0.0,0.0
2023-01-31,38.3,33.0,80.5,3.6,1.6,5.0,3.0,0.0,280,24.2,55.5,1013.9,0.0,0.0,0.0
2023-02-01,38.6,33.9,82.6,3.7,1.5,5.6,3.6,0.0,277,28.1,53.7,1009.9,0.0,8.0,408.0
2023-02-02,37.0,32.0,81.1,3.2,-2.0,5.0,1.9,0.0,300,20.9,57.4,1014.1,0.0,0.0,0.0
2023-02-03,36.0,33.0,89.4,2.2,-2.3,6.7,12.9,0.0,249,18.6,51.8,1015.0,0.0,0.0,0.0
2023-02-04,32.9,25.6,75.0,0.8,-4.0,4.8,1.5,0.0,337,15.6,51.8,1028.8,0.0,0.0,0.0
2023-02-05,26.6,20.3,78.5,-2.5,-4.8,-0.4,0.0,0.0,325,5.9,20.4,1039.1,0.0,0.0,0.0
2023-02-06,25.8,20.0,80.3,-3.2,-6.0,-0.3,0.0,0.0,87,5.9,18.5,1040.9,0.0,0.0,0.0
2023-02-07,25.1,19.0,79.0,-3.8,-9.6,1.3,0.0,0.0,337,4.0,13.0,1043.2,0.0,0.0,0.0
2023-02-08,27.9,22.2,79.1,-2.1,-5.6,0.3,0.0,0.0,137,12.3,29.6,1044.2,0.0,0.0,0.0
2023-02-09,30.9,19.6,65.3,-0.6,-5.9,5.0,0.0,0.0,181,15.3,29.6,1036.3,0.0,11.0,44.0
2023-02-10,33.5,24.7,70.4,0.9,-4.2,4.1,0.0,0.0,256,17.0,33.3,1035.0,0.0,0.0,0.0
2023-02-11,38.8,33.4,81.6,3.7,-0.1,6.2,0.9,0.0,266,20.4,46.3,1029.2,0.0,0.0,0.0
2023-02-12,42.6,38.9,87.8,6.2,5.0,8.4,0.0,0.0,302,8.3,22.2,1036.2,0.0,0.0,0.0
2023-02-13,42.0,38.4,88.4,5.7,4.4,7.0,0.7,0.0,294,8.9,25.9,1037.2,0.0,0.0,0.0
2023-02-14,39.2,32.7,77.1,4.3,0.8,5.7,0.0,0.0,275,8.6,16.7,1036.9,0.0,0.0,0.0
2023-02-15,34.4,30.1,84.9,1.9,-2.6,8.3,0.0,0.0,135,9.5,27.8,1030.3,0.0,0.0,0.0
2023-02-16,35.6,29.8,81.0,2.2,-4.2,8.8,0.0,0.0,237,7.1,24.1,1024.3,0.0,0.0,0.0
2023-02-17,46.2,39.4,77.4,7.9,1.1,13.2,0.0,0.0,238,19.1,55.5,1016.5,0.0,0.0,0.0
2023-02-18,45.9,38.1,75.3,7.6,5.7,13.3,1.3,0.0,280,24.6,55.5,1013.4,0.0,0.0,0.0
2023-02-19,39.6,34.9,83.8,4.5,0.8,6.4,6.7,0.0,298,11.9,31.5,1016.9,0.0,0.0,0.0
2023-02-20,44.7,35.0,70.3,7.1,-0.9,12.8,3.6,0.0,265,22.8,55.5,1016.6,0.0,31.0,34.0
2023-02-21,48.2,42.7,81.1,9.3,5.6,11.7,1.3,0.0,289,24.3,55.5,1012.8,0.0,26.0,29.0
2023-02-22,42.2,35.8,78.8,6.0,2.2,9.2,0.0,0.0,316,7.7,31.5,1017.9,0.0,33.0,187.0
2023-02-23,41.4,35.9,81.8,5.1,0.5,11.0,0.3,0.0,139,14.6,29.6,1014.5,0.0,22.0,25.0
2023-02-24,43.8,39.7,85.8,6.5,4.2,7.8,6.0,0.0,272,10.8,25.9,1003.9,0.0,84.0,87.0
2023-02-25,36.3,33.0,87.1,2.7,0.9,4.0,2.6,0.0,287,22.1,51.8,998.3,0.0,0.0,0.0
2023-02-26,32.6,27.5,81.8,0.4,-0.2,2.8,0.5,10.0,344,9.3,31.5,1015.9,0.0,0.0,0.0
2023-02-27,32.4,25.4,75.5,0.5,-2.6,2.7,0.4,0.0,3,6.8,20.4,1027.7,0.0,10.0,20.0
2023-02-28,32.8,22.1,66.6,0.9,-3.3,4.6,0.0,0.0,30,5.1,16.7,1031.5,0.0,20.0,37.0
2023-03-01,30.0,20.7,72.7,-0.7,-6.3,6.4,0.0,0.0,28,4.7,14.8,1029.4,0.0,2635.0,44376.0
2023-03-02,32.9,25.7,78.3,0.7,-6.4,8.3,0.0,0.0,34,5.3,14.8,1024.5,0.0,3010.0,40804.0
2023-03-03,31.4,30.0,95.0,-0.1,-1.1,1.3,0.0,0.0,307,11.9,24.1,1021.7,0.0,2220.0,28178.0
2023-03-04,36.8,31.9,83.0,2.7,0.0,5.4,0.0,0.0,291,21.6,42.6,1015.8,0.0,1449.0,19462.0
2023-03-05,33.6,28.6,83.3,0.9,-0.4,2.6,1.5,0.0,278,12.5,44.5,1011.3,0.0,911.0,12879.0
2023-03-06,34.8,30.5,85.3,1.7,-1.6,5.3,1.5,20.0,247,11.0,29.6,1005.1,0.0,2307.0,29422.0
2023-03-07,38.4,30.9,76.8,3.5,-1.8,7.1,0.5,10.0,219,18.5,48.2,999.4,0.0,2764.0,33380.0
2023-03-08,35.7,33.2,90.7,2.1,0.0,5.9,1.3,10.0,183,8.3,24.1,999.0,0.0,1895.0,26167.0
2023-03-09,37.0,36.3,95.5,3.1,2.6,3.9,4.5,0.0,52,7.3,22.2,996.7,0.0,1981.0,23775.0
2023-03-10,49.1,40.7,73.4,9.6,2.9,14.6,6.0,0.0,213,15.9,37.0,992.7,0.0,3269.0,60524.0
2023-03-11,36.5,30.8,80.7,2.7,-1.2,8.6,4.6,0.0,294,20.4,53.7,999.6,0.0,1233.0,18718.0
2023-03-12,37.0,25.8,64.7,2.8,-1.8,6.7,1.0,0.0,259,18.2,38.9,1012.5,0.0,1854.0,32375.0
